N5,N4,N3,N2,N1,,
一,不,与,並,丁,,
七,世,両,丸,丑,,
万,主,乗,久,且,,
三,事,予,乱,丘,,
上,京,争,乳,丙,,
下,仕,互,乾,丞,,
中,代,亡,了,丹,,
九,以,交,介,乃,,
二,会,他,仏,之,,
五,住,付,令,乏,,
人,体,件,仲,乙,,
今,作,任,伸,也,,
休,使,伝,伺,亀,,
何,借,似,低,井,,
先,元,位,依,亘,,
入,兄,余,個,亜,,
八,公,例,倍,亥,,
六,写,供,停,亦,,
円,冬,便,傾,亨,,
出,切,係,像,享,,
分,別,信,億,亭,,
前,力,倒,兆,亮,,
北,勉,候,児,仁,,
十,動,値,党,仙,,
千,医,偉,兵,仮,,
午,去,側,冊,仰,,
半,口,偶,再,企,,
南,古,備,凍,伊,,
友,台,働,刊,伍,,
右,同,優,刷,伎,,
名,味,光,券,伏,,
四,品,全,刺,伐,,
国,員,共,則,伯,,
土,問,具,副,伴,,
外,図,内,劇,伶,,
大,地,冷,効,伽,,
天,堂,処,勇,但,,
女,場,列,募,佐,,
子,売,初,勢,佑,,
学,夏,判,包,佳,,
小,夕,利,匹,併,,
山,多,到,区,侃,,
川,夜,制,卒,侍,,
左,妹,刻,協,侑,,
年,姉,割,占,価,,
後,始,加,印,侮,,
日,字,助,卵,侯,,
時,安,努,厚,侵,,
書,室,労,双,促,,
月,家,務,叫,俊,,
木,少,勝,召,俗,,
本,屋,勤,史,保,,
来,工,化,各,修,,
東,帰,単,含,俳,,
校,広,危,周,俵,,
母,店,原,咲,俸,,
毎,度,参,喫,倉,,
気,建,反,営,倖,,
水,弟,収,団,倣,,
火,強,取,囲,倫,,
父,待,受,固,倭,,
生,心,可,圧,倹,,
男,思,号,坂,偏,,
白,急,合,均,健,,
百,悪,向,型,偲,,
聞,意,君,埋,偵,,
行,手,否,城,偽,,
西,持,吸,域,傍,,
見,教,吹,塔,傑,,
話,文,告,塗,傘,,
語,料,呼,塩,催,,
読,新,命,境,債,,
車,方,和,央,傷,,
金,旅,商,奥,僕,,
長,族,喜,姓,僚,,
間,早,回,委,僧,,
雨,明,因,季,儀,,
電,映,困,孫,儒,,
食,春,園,宇,償,,
高,昼,在,宝,允,,
,曜,報,寺,充,,
,有,増,封,克,,
,服,声,専,免,,
,朝,変,将,典,,
,業,夢,尊,兼,,
,楽,太,導,冒,,
,歌,夫,届,冗,,
,止,失,層,冠,,
,正,好,岩,冴,,
,歩,妻,岸,冶,,
,死,娘,島,准,,
,注,婚,州,凌,,
,洋,婦,巨,凜,,
,海,存,巻,凝,,
,漢,宅,布,凡,,
,牛,守,希,凪,,
,物,完,帯,凱,,
,特,官,帽,凶,,
,犬,定,幅,凸,,
,理,実,干,凹,,
,用,客,幼,刀,,
,田,害,庁,刃,,
,町,容,床,刈,,
,画,宿,底,刑,,
,界,寄,府,削,,
,病,富,庫,剖,,
,発,寒,延,剛,,
,的,寝,弱,剣,,
,目,察,律,剤,,
,真,対,復,剰,,
,着,局,快,創,,
,知,居,恋,功,,
,研,差,患,劣,,
,社,市,悩,励,,
,私,師,憎,劾,,
,秋,席,戸,勁,,
,究,常,承,勅,,
,空,平,技,勘,,
,立,幸,担,勧,,
,答,幾,拝,勲,,
,紙,座,拾,勺,,
,終,庭,挟,匁,,
,習,式,捜,匠,,
,考,引,捨,匡,,
,者,当,掃,匿,,
,肉,形,掘,升,,
,自,役,採,卑,,
,色,彼,接,卓,,
,花,徒,換,博,,
,英,得,損,卯,,
,茶,御,改,即,,
,親,必,敬,却,,
,言,忘,旧,卸,,
,計,忙,昇,厄,,
,試,念,星,厘,,
,買,怒,普,厳,,
,貸,怖,暴,又,,
,質,性,曇,及,,
,赤,恐,替,叔,,
,走,恥,札,叙,,
,起,息,机,叡,,
,足,悲,材,句,,
,転,情,村,只,,
,近,想,板,叶,,
,送,愛,林,司,,
,通,感,枚,吉,,
,週,慣,枝,后,,
,運,成,枯,吏,,
,道,戦,柔,吐,,
,重,戻,柱,吟,,
,野,所,査,呂,,
,銀,才,栄,呈,,
,開,打,根,呉,,
,院,払,械,哀,,
,集,投,棒,哉,,
,青,折,森,哲,,
,音,抜,植,唄,,
,題,抱,極,唆,,
,風,押,橋,唇,,
,飯,招,欧,唯,,
,飲,指,武,唱,,
,館,捕,歴,啄,,
,駅,掛,殿,啓,,
,験,探,毒,善,,
,魚,支,比,喚,,
,鳥,放,毛,喝,,
,黒,政,氷,喪,,
,,敗,永,喬,,
,,散,汗,嗣,,
,,数,汚,嘆,,
,,断,池,嘉,,
,,易,沈,嘱,,
,,昔,河,器,,
,,昨,沸,噴,,
,,晩,油,嚇,,
,,景,況,囚,,
,,晴,泉,圏,,
,,暗,泊,圭,,
,,暮,波,坑,,
,,曲,泥,坪,,
,,更,浅,垂,,
,,最,浴,垣,,
,,望,涙,執,,
,,期,液,培,,
,,未,涼,基,,
,,末,混,堀,,
,,束,清,堅,,
,,杯,減,堕,,
,,果,温,堤,,
,,格,測,堪,,
,,構,湖,塀,,
,,様,湯,塁,,
,,権,湾,塊,,
,,横,湿,塑,,
,,機,準,塚,,
,,欠,溶,塾,,
,,次,滴,墓,,
,,欲,漁,墜,,
,,歯,濃,墨,,
,,歳,濯,墳,,
,,残,灯,墾,,
,,段,灰,壁,,
,,殺,炭,壇,,
,,民,無,壊,,
,,求,焼,壌,,
,,決,照,士,,
,,治,燃,壮,,
,,法,燥,壱,,
,,泳,爆,奇,,
,,洗,片,奈,,
,,活,版,奉,,
,,流,玉,奎,,
,,浮,珍,奏,,
,,消,瓶,契,,
,,深,甘,奔,,
,,済,畜,奨,,
,,渡,略,奪,,
,,港,畳,奮,,
,,満,療,奴,,
,,演,皮,如,,
,,点,皿,妃,,
,,然,省,妄,,
,,煙,県,妊,,
,,熱,短,妙,,
,,犯,砂,妥,,
,,状,硬,妨,,
,,猫,磨,姫,,
,,王,祈,姻,,
,,現,祝,姿,,
,,球,祭,威,,
,,産,禁,娠,,
,,由,秒,娯,,
,,申,移,婆,,
,,留,税,婿,,
,,番,章,媒,,
,,疑,童,媛,,
,,疲,競,嫁,,
,,痛,竹,嫌,,
,,登,符,嫡,,
,,皆,筆,嬉,,
,,盗,筒,嬢,,
,,直,算,孔,,
,,相,管,孝,,
,,眠,築,孟,,
,,石,簡,孤,,
,,破,籍,宏,,
,,確,粉,宗,,
,,示,粒,宙,,
,,礼,糸,宜,,
,,祖,紅,宣,,
,,神,純,宥,,
,,福,細,宮,,
,,科,紹,宰,,
,,程,絡,宴,,
,,種,綿,宵,,
,,積,総,寂,,
,,突,緑,寅,,
,,窓,線,密,,
,,笑,編,寛,,
,,等,練,寡,,
,,箱,績,寧,,
,,米,缶,審,,
,,精,署,寮,,
,,約,群,寸,,
,,組,羽,射,,
,,経,翌,尉,,
,,給,耕,尋,,
,,絵,肌,尚,,
,,絶,肩,尭,,
,,続,肯,就,,
,,緒,胃,尺,,
,,罪,胸,尼,,
,,置,脂,尽,,
,,美,脳,尾,,
,,老,腕,尿,,
,,耳,腰,屈,,
,,職,膚,展,,
,,育,臓,属,,
,,背,臣,履,,
,,能,舟,屯,,
,,腹,航,岐,,
,,舞,般,岡,,
,,船,芸,岬,,
,,良,荒,岳,,
,,若,荷,峠,,
,,苦,菓,峡,,
,,草,菜,峰,,
,,落,著,峻,,
,,葉,蒸,崇,,
,,薬,蔵,崎,,
,,術,薄,崚,,
,,表,虫,崩,,
,,要,血,嵐,,
,,規,衣,嵩,,
,,覚,袋,嵯,,
,,観,被,嶺,,
,,解,装,巌,,
,,記,裏,巡,,
,,訪,補,巣,,
,,許,複,巧,,
,,認,角,己,,
,,誤,触,巳,,
,,説,訓,巴,,
,,調,設,巽,,
,,談,詞,帆,,
,,論,詰,帝,,
,,識,誌,帥,,
,,警,課,帳,,
,,議,諸,幕,,
,,負,講,幣,,
,,財,谷,幹,,
,,貧,豊,幻,,
,,責,象,幽,,
,,費,貝,庄,,
,,資,貨,序,,
,,賛,販,庶,,
,,越,貯,康,,
,,路,貿,庸,,
,,身,賞,廃,,
,,辞,賢,廉,,
,,込,贈,廊,,
,,迎,超,廷,,
,,返,跡,弁,,
,,迷,踊,弊,,
,,追,軍,弐,,
,,退,軒,弓,,
,,逃,軟,弔,,
,,途,軽,弘,,
,,速,輪,弥,,
,,連,輸,弦,,
,,進,辛,弧,,
,,遅,農,張,,
,,遊,辺,弾,,
,,過,述,彗,,
,,達,逆,彦,,
,,違,造,彩,,
,,遠,郊,彪,,
,,適,郵,彫,,
,,選,量,彬,,
,,部,針,彰,,
,,都,鈍,影,,
,,配,鉄,往,,
,,酒,鉱,征,,
,,閉,銅,径,,
,,関,鋭,徐,,
,,阪,録,従,,
,,降,門,循,,
,,限,防,微,,
,,除,陸,徳,,
,,険,隅,徴,,
,,陽,階,徹,,
,,際,隻,忌,,
,,雑,雇,忍,,
,,難,雲,志,,
,,雪,零,応,,
,,静,震,忠,,
,,非,革,怜,,
,,面,順,怠,,
,,靴,預,怪,,
,,頂,領,恒,,
,,頭,額,恕,,
,,頼,香,恨,,
,,顔,駐,恩,,
,,願,骨,恭,,
,,類,麦,恵,,
,,飛,黄,悌,,
,,首,鼻,悔,,
,,馬,齢,悟,,
,,髪,,悠,,
,,鳴,,悦,,
,,,,悼,,
,,,,惇,,
,,,,惑,,
,,,,惜,,
,,,,惟,,
,,,,惣,,
,,,,惨,,
,,,,惰,,
,,,,愁,,
,,,,愉,,
,,,,愚,,
,,,,慈,,
,,,,態,,
,,,,慎,,
,,,,慕,,
,,,,慢,,
,,,,慧,,
,,,,慨,,
,,,,慮,,
,,,,慰,,
,,,,慶,,
,,,,憂,,
,,,,憤,,
,,,,憧,,
,,,,憩,,
,,,,憲,,
,,,,憶,,
,,,,憾,,
,,,,懇,,
,,,,懐,,
,,,,懲,,
,,,,懸,,
,,,,我,,
,,,,戒,,
,,,,戯,,
,,,,房,,
,,,,扇,,
,,,,扉,,
,,,,扱,,
,,,,扶,,
,,,,批,,
,,,,抄,,
,,,,把,,
,,,,抑,,
,,,,抗,,
,,,,択,,
,,,,披,,
,,,,抵,,
,,,,抹,,
,,,,抽,,
,,,,拍,,
,,,,拐,,
,,,,拒,,
,,,,拓,,
,,,,拘,,
,,,,拙,,
,,,,拠,,
,,,,拡,,
,,,,括,,
,,,,拳,,
,,,,拷,,
,,,,挑,,
,,,,挙,,
,,,,振,,
,,,,挿,,
,,,,据,,
,,,,捷,,
,,,,捺,,
,,,,授,,
,,,,掌,,
,,,,排,,
,,,,控,,
,,,,推,,
,,,,措,,
,,,,掲,,
,,,,描,,
,,,,提,,
,,,,揚,,
,,,,握,,
,,,,揮,,
,,,,援,,
,,,,揺,,
,,,,搬,,
,,,,搭,,
,,,,携,,
,,,,搾,,
,,,,摂,,
,,,,摘,,
,,,,摩,,
,,,,撃,,
,,,,撤,,
,,,,撮,,
,,,,撲,,
,,,,擁,,
,,,,操,,
,,,,擦,,
,,,,擬,,
,,,,攻,,
,,,,故,,
,,,,敏,,
,,,,救,,
,,,,敢,,
,,,,敦,,
,,,,整,,
,,,,敵,,
,,,,敷,,
,,,,斉,,
,,,,斎,,
,,,,斐,,
,,,,斗,,
,,,,斜,,
,,,,斤,,
,,,,斥,,
,,,,於,,
,,,,施,,
,,,,旋,,
,,,,旗,,
,,,,既,,
,,,,旦,,
,,,,旨,,
,,,,旬,,
,,,,旭,,
,,,,旺,,
,,,,昂,,
,,,,昆,,
,,,,昌,,
,,,,昭,,
,,,,是,,
,,,,昴,,
,,,,晃,,
,,,,晋,,
,,,,晏,,
,,,,晟,,
,,,,晨,,
,,,,晶,,
,,,,智,,
,,,,暁,,
,,,,暇,,
,,,,暉,,
,,,,暑,,
,,,,暖,,
,,,,暢,,
,,,,暦,,
,,,,暫,,
,,,,曙,,
,,,,曹,,
,,,,朋,,
,,,,朔,,
,,,,朕,,
,,,,朗,,
,,,,朱,,
,,,,朴,,
,,,,朽,,
,,,,杉,,
,,,,李,,
,,,,杏,,
,,,,杜,,
,,,,条,,
,,,,松,,
,,,,析,,
,,,,枠,,
,,,,枢,,
,,,,架,,
,,,,柄,,
,,,,柊,,
,,,,某,,
,,,,染,,
,,,,柚,,
,,,,柳,,
,,,,柾,,
,,,,栓,,
,,,,栗,,
,,,,栞,,
,,,,株,,
,,,,核,,
,,,,栽,,
,,,,桂,,
,,,,桃,,
,,,,案,,
,,,,桐,,
,,,,桑,,
,,,,桜,,
,,,,桟,,
,,,,梅,,
,,,,梓,,
,,,,梢,,
,,,,梧,,
,,,,梨,,
,,,,棄,,
,,,,棋,,
,,,,棚,,
,,,,棟,,
,,,,棺,,
,,,,椋,,
,,,,椎,,
,,,,検,,
,,,,椰,,
,,,,椿,,
,,,,楊,,
,,,,楓,,
,,,,楠,,
,,,,楼,,
,,,,概,,
,,,,榛,,
,,,,槙,,
,,,,槻,,
,,,,槽,,
,,,,標,,
,,,,模,,
,,,,樹,,
,,,,樺,,
,,,,橘,,
,,,,檀,,
,,,,欄,,
,,,,欣,,
,,,,欺,,
,,,,欽,,
,,,,款,,
,,,,歓,,
,,,,殉,,
,,,,殊,,
,,,,殖,,
,,,,殴,,
,,,,殻,,
,,,,毅,,
,,,,毬,,
,,,,氏,,
,,,,汁,,
,,,,汐,,
,,,,江,,
,,,,汰,,
,,,,汽,,
,,,,沖,,
,,,,沙,,
,,,,没,,
,,,,沢,,
,,,,沼,,
,,,,沿,,
,,,,泌,,
,,,,泡,,
,,,,泣,,
,,,,泰,,
,,,,洞,,
,,,,津,,
,,,,洪,,
,,,,洲,,
,,,,洵,,
,,,,洸,,
,,,,派,,
,,,,浄,,
,,,,浜,,
,,,,浦,,
,,,,浩,,
,,,,浪,,
,,,,浸,,
,,,,涯,,
,,,,淑,,
,,,,淡,,
,,,,淳,,
,,,,添,,
,,,,渇,,
,,,,渉,,
,,,,渋,,
,,,,渓,,
