Кандзи,Значение,On,Kun,Номер,例,Level
一,один,イチ・イツ,ひと-つ,1,一日・一回・一歩・一本・一月・一年,5
二,два,ニ,ふた-つ,2,二日・二回,5
三,три,サン,みっ-つ・み-つ,3,,5
四,четыре,シ,よん・よっ-つ・よ-つ,4,,5
五,пять,ゴ,いつ-つ,5,,5
六,шесть,ロク,むっ-つ・む-つ,6,,5
七,семь,シチ,なな-つ,7,,5
八,восемь,ハチ,やっ-つ・や-つ,8,,5
九,девять,キュウ・ク,ここの-つ,9,,5
十,десять,ジュウ・ジッ・ジュッ,とお・と,10,,5
百,сто,ヒャク・ビャク,もも,11,,5
千,тысяча,セン,ち,12,,5
万,десять тысяч,マン・バン,よろず,13,一万・百万・一千万,5
人,человек,ジン・ニン,ひと,14,人間・人材,5
見,видеть,ケン,み-る ・み-える ・み-せる,15,,5
出,выходить; появляться; вынимать; выдавать,シュツ,で-る・だ-す,16,出口,5
日,день; солнце,ニチ・ジツ,ひ・か,17,日曜日・今日,5
来,приходить,ライ・タイ,く-る,18,来日する,5
子,ребёнок; детёныш,シ・ス,こ,19,子供・子猫・子犬・電子,5
大,большой,ダイ・タイ,おお-きい,20,大学・大阪市,5
上,верх,ジョウ,うえ・あ-がる,21,上司・,5
分,понимать; минута; доля,ブン・フン・ブ ,わ-かる・わ-ける・わ-かれる,22,三十分・部分,5
中,середина; внутри; во время; в течение,チュウ,なか・うち,23,中国・中年・一日中,5
行,идти; ходить; уходить; совершать; осуществлять ,コウ・ギョウ,い-く・ゆ-く・おこな-う,24,行方不明・一方通路・一方通行,5
時,время; час,ジ,とき,25,時間・時計・,5
何,что?,カ,なに・なん,26,何処・何故・何の為・,5
生,жизнь; жить; быть живым; рождаться; рождать; приносить; сырой,セイ・ショウ,い-きる・う-まれる・は-やす・う-む・なま,27,先生・生き物・,5
間,интервал; промежуток; период; комната,カン・ケン,あいだ・ま,28,期間・,5
言,сказать,ゲン・ゴン,いう・こと,29,言葉・言語,5
手,рука,シュ,て,30,手遅れ・相手・,5
女,женщина,ジョ・ニョ・ニョウ,おんな,31,女神・女優・,5
気,дух; воздух; пар; атмосфера; чувства; настроение,キ・ケ,き,32,勇気・空気・,5
本,книга; источник; основа,ホン,もと,33,本棚・基本的・,5
年,год; возраст,ネン,とし,34,年上・,5
前,до; впереди,ゼン,まえ,35,前回・,5
今,сейчас,コン・キン,いま,36,今年・今回,5
下,низ,カ、ゲ,した・くだ-さる・お-りる・さ-がる・さ-げる,37,足下・以下,5
立,вставать; стоять,リツ,た-つ・た-てる,38,国立・,5
小,маленький,ショウ,ちいさい・こ-,39,小雨・小学校・小銭,5
入,входить; вставлять; входить,ニュウ,はい-る・い-る・い-れる,40,入口・入国,5
月,месяц; луна,ゲツ、ガツ,つき,41,月曜日・正月・,5
目,глаз; суффикс порядковых числительных ,モク・ボク,め,42,眼鏡・目的・目標・１回目・,5
学,учение; знание; наука; изучать ,ガク,まな-ぶ,43,化学・物理学・,5
書,писать,ショ,か-く,44,読書・,5
後,после; потом; позади; сзади,ゴ・コウ,うし-ろ・あと・のち・(おく-れる),45,後期・今後,5
山,гора,サン,やま,46,火山,5
話,говорить; рассказывать; разговор; беседа ,ワ,はなし・はな-す,47,会話・,5
先,впереди; кончик; острие; раньше; сначала; прежде всего,セン,さき・まず,48,先月・先行き・,5
少,мало; немного; юность,ショウ,すく-ない・すこ-し,49,少年,5
長,длинный; начальник; старший,チョウ,なが-い,50,長男・部長・長女,5
聞,слышать; спрашивать; быть слышным; звучать ,ブン・モン,きく・き-こえる,51,新聞・,5
水,вода,スイ,みず,52,水道・,5
口,рот; язык/речь; отверстие,コウ・(ク),くち,53,口紅・人口,5
空,небо; пустота,クウ,そら・から・あ-く,54,空白・空を飛ぶ・,5
名,имя; название,メイ・ミョウ,な,55,名前・名詞,5
会,встреча; собрание,カイ,あ-う,56,会議・会議室,5
男,мужчина,ダン・ナン,おとこ,57,男女・男性・,5
白,белый; невинность; невиновность,ハク・ビャク,しろ-い・しろ,58,白眼視・,5
外,снаружи; иностранный; исключение,ガイ・ゲ,そと・ほか・はず-す,59,外国・外伝・,5
道,дорога; путь; расстояние,ドウ,みち,60,剣道・武士道・,5
国,страна,コク,くに,61,国際・王国・日本国・国民,5
新,новый,シン,あたら-しい・あら-た,62,新作・,5
木,дерево,モク・ボク,き,63,木曜日・,5
多,много,タ,おお-い,64,多分・,5
足,нога,ソク,あし・た-りる,65,手足・,5
金,золото; деньги,キン・コン,かね,66,金持ち・金曜日・,5
高,высокий,コウ,たか-い,67,高校・,5
母,мать,ボ,はは,68,祖母・,5
天,небо; погода,テン,あま,69,天気・天の川,5
父,отец,フ,ちち,70,祖父,5
食,еда,ショク,た-べる・く-う,71,食べ物・,5
川,река,セン,かわ,72,,5
語,язык; слово,ゴ,かた-る,73,物語・,5
社,компания; святилище; общество,シャ,やしろ,74,,5
校,школа,コウ・キョウ,―,75,,5
花,цветок,カ,はな,76,花瓶,5
車,машина; повозка; колёсное транспортное средство,シャ,くるま,77,,5
古,старый,コ,ふる-い,78,,5
火,огонь,カ,ひ,79,火曜日・,5
土,земля; почва,ト・ド,つち,80,,5
東,восток,トウ,ひがし,81,東方・東京,5
安,дешёвый; спокойный; безопасный,アン,やす-い,82,,5
半,половина,ハン,なかば,83,,5
読,читать,ドク・トク,よ-む,84,,5
右,право,ウ・ユウ,みぎ,85,,5
左,лево,サ,ひだり,86,,5
西,запад,セイ・サイ・ス,にし,87,,5
友,друг,ユウ,とも,88,友人・友達,5
電,электричество,デン,―,89,,5
店,магазин,テン,みせ,90,店長,5
雨,дождь,ウ,あめ・あま,91,,5
北,север,ホク・ホッ,きた,92,北方・北海島,5
買,покупать,バイ,か-う,93,,5
耳,ухо,ジ,みみ,94,,5
南,юг,ナン,みなみ,95,,5
円,иена; круг; круглый,エン,まる・まる-い,96,,5
毎,каждый (день　и т. д.) ,マイ,ごと,97,,5
飲,пить,イン,の-む,98,,5
休,отдых,キュウ,やす-む・やす-み,99,,5
魚,рыба,ギョ,さかな,100,金魚・人魚,5
午,полдень; Лошадь,ゴ,うま,101,午後・午前,5
駅,Станция,エキ,―,102,駅前・駅員,5
週,неделя,シュウ,―,103,,5
思,думать; полагать,シ,おも-う,104,,5
事,дело; обстоятельство,ジ,こと,105,,4
私,я; свой; личный,シ,わたし・わたくし,106,,5
自,сам; лично; само собой; спонтанно,ジ,みずか-ら・おの-ずから,107,,4
